,title,abstract,intro
21,Iterative Alternating Neural Attention for Machine Reading,"we propose a novel neural attention architecture to tackle machine comprehension tasks, such as answering cloze-style queries with respect to a document. unlike previous models, we do not collapse the query into a single vector, instead we deploy an iterative alternating attention mechanism that allows a fine-grained exploration of both the query and the document. our model outperforms state-of-the-art baselines in standard machine comprehension benchmarks such as cnn news articles and the children's book test dataset.introduction","recently, the idea of training machine comprehension models that can read, understand, and answer questions about a text has come closer to reality principally through two factors. the first is the advent of deep learning techniques, which allow manipulation of natural language beyond its surface forms and generalize beyond relatively small amounts of labeled data. the second factor is the formulation of standard machine comprehension benchmarks based on cloze-style queries, which permit fast integration loops between model conception and experimental evaluation.cloze-style queries are created by deleting a particular word in a natural-language statement. the task is to guess which word was deleted. ina pragmatic approach, recent work formed such questions by extracting a sentence from a larger document. in contrast to considering a stand-alone statement, the system is now required to handle a larger amount of information that may possibly influence the prediction of the missing word. such contextual dependencies may also be injected by removing a word from a short human-crafted summary of a larger body of text. the abstractive nature of the summary is likely to demand a higher level of comprehension of the original text. in both cases, the machine comprehension system is presented with an ablated query and the document to which the original query refers. the missing word is assumed to appear in the document. encouraged by the recent success of deep learning attention architectures, we propose a novel neural attention-based inference model designed to perform machine reading comprehension tasks. the model first reads the document and the query using a recurrent neural network. then, it deploys an iterative inference process to uncover the inferential links that exist between the missing query word, the query, and the document. this phase involves a novel alternating attention mechanism; it first attends to some parts of the query, then finds their corresponding matches by attending to the document. the result of this alternating search is fed back into the iterative inference process to seed the next search step. this permits our model to reason about different parts of the query in a sequential way, based on the information that has been gathered previously from the document. after a fixed number of iterations, the model uses a summary of its inference process to predict the answer. this paper makes the following contributions. we present a novel iterative, alternating attention mechanism that, unlike existing models, does not compress the query to a single representation, but instead alternates its attention between the query and the document to obtain a fine-grained query representation within a fixed computation time. our architecture tightly integrates previous ideas related to bidirectional readers and iterative attention processes. it obtains state-of-theart results on two machine comprehension datasets and shows promise for application to abroad range of natural language processing tasks."
22,End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures,"we present a novel end-to-end neural model to extract entities and relations between them. our recurrent neural network based model captures both word sequence and dependency tree substructure information by stacking bidirectional treestructured lstm-rnns on bidirectional sequential lstm-rnns. this allows our model to jointly represent both entities and relations with shared parameters in a single model. we further encourage detection of entities during training and use of entity information in relation extraction via entity pretraining and scheduled sampling. our model improves over the stateof-the-art feature-based model on end-toend relation extraction, achieving 12.1% and 5.7% relative error reductions in f1score on ace2005 and ace2004, respectively. we also show that our lstm-rnn based model compares favorably to the state-of-the-art cnn based model on nominal relation classification . finally, we present an extensive ablation analysis of several model components.introduction","extracting semantic relations between entities in text is an important and well-studied task in information extraction and natural language processing . traditional systems treat this task as a pipeline of two separated tasks, i.e., named entity recognition ) and relation extraction, but recent studies show that end-to-end modeling of entity and relation is important for high performance since relations interact closely with entity information. for instance, to learn that toefting and bolton have an organization-affiliation relation in the sentence toefting transferred to bolton, the entity information that toefting and bolton are person and organization entities is important. extraction of these entities is in turn encouraged by the presence of the context words transferred to, which indicate an employment relation. previous joint models have employed feature-based structured learning. an alternative approach to this end-to-end relation extraction task is to employ automatic feature learning via neural network based models.there are two ways to represent relations between entities using neural networks: recurrent/recursive neural networks and convolutional neural networks . among these, rnns can directly represent essential linguistic structures, i.e., word sequences and constituent/dependency trees. despite this representation ability, for relation classification tasks, the previously reported performance using long short-term memory based rnns is worse than one using cnns. these previous lstm-based systems mostly include limited linguistic structures and neural architectures, and do not model entities and relations jointly. we are able to achieve improvements over state-of-the-art models via endto-end modeling of entities and relations based on richer lstm-rnn architectures that incorporate complementary linguistic structures.word sequence and tree structure are known to be complementary information for extracting relations. for instance, dependencies between words are not enough to predict that source and u.s. have an org-aff relation in the sentence ""this is ..."", one u.s. source said, and the context word said is required for this prediction. many traditional, feature-based relation classification models extract features from both sequences and parse trees. however, previous rnnbased models focus on only one of these linguistic structures.we present a novel end-to-end model to extract relations between entities on both word sequence and dependency tree structures. our model allows joint modeling of entities and relations in a single model by using both bidirectional sequential and bidirectional tree-structured lstm-rnns. our model first detects entities and then extracts relations between the detected entities using a single incrementally-decoded nn structure, and the nn parameters are jointly updated using both entity and relation labels. unlike traditional incremental end-to-end relation extraction models, our model further incorporates two enhancements into training: entity pretraining, which pretrains the entity model, and scheduled sampling, which replaces predicted labels with gold labels in a certain probability. these enhancements alleviate the problem of low-performance entity detection in early stages of training, as well as allow entity information to further help downstream relation classification.on end-to-end relation extraction, we improve over the state-of-the-art feature-based model, with 12.1% and 5.7% relative error reductions in f1-score. on nominal relation classification , our model compares favorably to the state-of-the-art cnnbased model in f1-score. finally, we also ablate and compare our various model components, which leads to some key findings about the contribution and effectiveness of different rnn structures, input dependency relation structures, different parsing models, external resources, and joint learning settings."
23,Joint Extraction of Entities and Relations Based on a Novel Tagging Scheme,"joint extraction of entities and relations is an important task in information extraction. to tackle this problem, we firstly propose a novel tagging scheme that can convert the joint extraction task to a tagging problem. then, based on our tagging scheme, we study different end-toend models to extract entities and their relations directly, without identifying entities and relations separately. we conduct experiments on a public dataset produced by distant supervision method and the experimental results show that the tagging based methods are better than most of the existing pipelined and joint learning methods. what's more, the end-to-end model proposed in this paper, achieves the best results on the public dataset.introduction","joint extraction of entities and relations is to detect entity mentions and recognize their semantic relations simultaneously from unstructured text, as shows. different from open information extraction ) whose relation words are extracted from the given sentence, in this task, relation words are extracted from a predefined relation set which may not appear in the given sentence. it is an important issue in knowledge extraction and automatic construction of knowledge base. traditional methods handle this task in a pipelined manner, i.e., extracting the entities first and then recognizing their relations. this separated framework makes the task easy to deal with, and each component can be more flexible. but it neglects the relevance between these two sub-tasks and each subtask is an independent model. the results of entity recognition may affect the performance of relation classification and lead to erroneous delivery.different from the pipelined methods, joint learning framework is to extract entities together with relations using a single model. it can effectively integrate the information of entities and relations, and it has been shown to achieve better results in this task. however, most existing joint methods are feature-based structured systems. they need complicated feature engineering and heavily rely on the other nlp toolkits, which might also lead to error propagation. in order to reduce the manual work in feature extraction, recently, presents a neural network-based method for the end-to-end entities and relations extraction. although the joint models can represent both entities and relations with shared parameters in a single model, they also extract the entities and relations separately and produce redundant information. for instance, the sentence in contains three entities: ""united states"", ""trump"" and ""apple inc"". but only ""united states"" and ""trump"" hold a fix relation ""country-president"". entity ""apple inc"" has no obvious relationship with the other entities in this sentence. hence, the extracted result from this sentence is {united states e1 , country-president r , trump e2 }, which called triplet here.in this paper, we focus on the extraction of triplets that are composed of two entities and one relation between these two entities. therefore, we can model the triplets directly, rather than extracting the entities and relations separately. based on the motivations, we propose a tagging scheme accompanied with the end-to-end model to settle this problem. we design a kind of novel tags which contain the information of entities and the relationships they hold. based on this tagging scheme, the joint extraction of entities and relations can be transformed into a tagging problem. in this way, we can also easily use neural networks to model the task without complicated feature engineering.recently, end-to-end models based on lstm have been successfully applied to various tagging tasks: named entity recognition, ccg supertagging, chunking et al. lstm is capable of learning long-term dependencies, which is beneficial to sequence modeling tasks. therefore, based on our tagging scheme, we investigate different kinds of lstm-based end-to-end models to jointly extract the entities and relations. we also modify the decoding method by adding a biased loss to make it more suitable for our special tags.the method we proposed is a supervised learning algorithm. in reality, however, the process of manually labeling a training set with a large number of entity and relation is too expensive and error-prone. therefore, we conduct experiments on a public dataset 1 which is produced by distant supervision method to validate our approach. the experimental results show that our tagging scheme is effective in this task. in addition, our end-to-end model can achieve the best results on the public dataset.the major contributions of this paper are: a novel tagging scheme is proposed to jointly extract entities and relations, which can easily transform the extraction problem into a tagging task. based on our tagging scheme, we study different kinds of end-to-end models to settle the problem. the tagging-based methods are better than most of the existing pipelined and joint learning methods. furthermore, we also develop an end-to-1 link end model with biased loss function to suit for the novel tags. it can enhance the association between related entities."
24,Joint entity recognition and relation extraction as a multi-head selection problem,"state-of-the-art models for joint entity recognition and relation extraction strongly rely on external natural language processing tools such as pos taggers and dependency parsers. thus, the performance of such joint models depends on the quality of the features obtained from these nlp tools. however, these features are not always accurate for various languages and contexts. in this paper, we propose a joint neural model which performs entity recognition and relation extraction simultaneously, without the need of any manually extracted features or the use of any external tool. specifically, we model the entity recognition task using a crf layer and the relation extraction task as a multi-head selection problem . we present an extensive experimental setup, to demonstrate the effectiveness of our method using datasets from various contexts and languages . our model outperforms the previous neural models that use automatically extracted features, while it performs within a reasonable margin of feature-based neural models, or even beats them.introduction","the goal of the entity recognition and relation extraction is to discover relational structures of entity mentions from unstructured texts. it is a central problem in information extraction since it is critical for tasks such as knowledge base population and question answering.the problem is traditionally approached as two separate subtasks, namely named entity recognition and relation extraction , in a pipeline setting. the main limitations of the pipeline models are: error propagation between the components and possible useful information from the one task is not exploited by the other . on the other hand, more recent studies propose to use joint models to detect entities and their relations overcoming the aforementioned issues and achieving state-of-the-art performance.the previous joint models heavily rely on hand-crafted features. recent advances in neural networks alleviate the issue of manual feature engineering, but some of them still depend on nlp tools . propose a recurrent neural network -based joint model that uses a bidirectional sequential lstm to model the entities and a tree-lstm that takes into account dependency tree information to model the relations between the entities. the dependency information is extracted using an external dependency parser. similarly, in the work of for entity and relation extraction from biomedical text, a model which also uses tree-lstms is applied to extract dependency information. propose a method that relies on rnns but uses a lot of hand-crafted features and additional nlp tools to extract features such as pos-tags, etc. replicate the context around the entities with convolutional neural networks . note that the aforementioned works examine pairs of entities for relation extraction, rather than modeling the whole sentence directly. this means that relations of other pairs of entities in the same sentence -which could be helpful in deciding on the relation type fora particular pair -are not taken into account. propose a neural joint model based on lstms where they model the whole sentence at once, but still they do not have a principled way to deal with multiple relations. introduce a quadratic scoring layer to model the two tasks simultaneously. the limitation of this approach is that only a single relation can be assigned to a token, while the time complexity for the entity recognition task is increased compared to the standard approaches with linear complexity.in this work, we focus on anew general purpose joint model that performs the two tasks of entity recognition and relation extraction simultaneously, and that can handle multiple relations together. our model achieves state-of-the-art performance in a number of different contexts and languages without relying on any manually engineered features nor additional nlp tools. in summary, our proposed model solves several shortcomings that we identified in related works for joint entity recognition and relation extraction: our model does not rely on external nlp tools nor hand-crafted features, entities and relations within the same text fragment are extracted simultaneously, where an entity can be involved in multiple relations at once. specifically, the model of depends on dependency parsers, which perform particularly well on specific languages and contexts . yet, our ambition is to develop a model that generalizes well in various setups, therefore using only automatically extracted features that are learned during training.for instance, and use exactly the same model in different contexts, i.e., news and biomedical data , respectively. comparing our results to the ade dataset, we obtain a 1.8% improvement on the ner task and ?3% on the re task. on the other hand, our model performs within a reasonable margin on the ace04 dataset without the use of pre-calculated features. this shows that the model of strongly relies on the features extracted by the dependency parsers and cannot generalize well into different contexts where dependency parser features are weak.comparing to, we train our model by modeling all the entities and the relations of the sentence at once. this type of inference is beneficial in obtaining information about neighboring entities and relations instead of just examining a pair of entities each time. finally, we solve the underlying problem of the models proposed by and, who essentially assume classes to be mutually exclusive: we solve this by phrasing the relation extraction component as a multi-label prediction problem. to demonstrate the effectiveness of the proposed method, we conduct the largest experimental evaluation to date in jointly performing both entity recognition and relation extraction , using different datasets from various domains and languages . specifically, we apply our method to four datasets, namely ace04 , adverse drug events , dutch real estate classifieds and conll'04 . our method outperforms all state-of-the-art methods that do not rely on any additional features or tools, while performance is very close compared to methods that do exploit hand-engineered features or nlp tools."
25,Adversarial training for multi-context joint entity and relation extraction,"adversarial training is a regularization method that can be used to improve the robustness of neural network methods by adding small perturbations in the training data. we show how to use at for the tasks of entity recognition and relation extraction. in particular, we demonstrate that applying at to a general purpose baseline model for jointly extracting entities and relations, allows improving the state-of-the-art effectiveness on several datasets in different contexts and for different languages .introduction","many neural network methods have recently been exploited in various natural language processing tasks, such as parsing , pos tagging, relation extraction, translation, and joint tasks. however, observed that intentional small scale perturbations to the input of such models may lead to incorrect decisions . proposed adversarial training as a regularization method which uses a mixture of clean and adversarial examples to enhance the robustness of the model. although at has recently been applied in nlp tasks , this paper -to the best of our knowledge -is the first attempt investigating regularization effects of at in a joint setting for two related tasks.we start from a baseline joint model that performs the tasks of named entity recognition and relation extraction at once. previously proposed models exhibit several issues that the neural network-based baseline approach overcomes: our model uses automatically extracted features without the need of external parsers nor manually extracted features , all entities and the corresponding relations within the sentence are extracted at once, instead of examining one pair of entities at a time , and we model relation extraction in a multi-label setting, allowing multiple relations per entity . the core contribution of the paper is the use of at as an extension in the training procedure for the joint extraction task .to evaluate the proposed at method, we perform a large scale experimental study in this joint task , using datasets from different contexts and languages . we use a strong baseline that outperforms all previous models that rely on automatically extracted features, achieving state-of-the-art performance . compared to the baseline model, applying at during training leads to a consistent additional increase in joint extraction effectiveness."
26,Graph Convolution over Pruned Dependency Trees Improves Relation Extraction,"dependency trees help relation extraction models capture long-range relations between words. however, existing dependency-based models either neglect crucial information by pruning the dependency trees too aggressively, or are computationally inefficient because it is difficult to parallelize over different tree structures. we propose an extension of graph convolutional networks that is tailored for relation extraction, which pools information over arbitrary dependency structures efficiently in parallel. to incorporate relevant information while maximally removing irrelevant content, we further apply a novel pruning strategy to the input trees by keeping words immediately around the shortest path between the two entities among which a relation might hold. the resulting model achieves state-of-the-art performance on the large-scale tacred dataset, outperforming existing sequence and dependency-based neural models. we also show through detailed analysis that this model has complementary strengths to sequence models, and combining them further improves the state of the art. * equal contribution. the order of authorship was decided by a tossed coin.introduction","relation extraction involves discerning whether a relation exists between two entities in a sentence . successful relation extraction is the cornerstone of applications requiring relational understanding of unstructured text on a large scale, such as question answering, knowledge base population, and biomedical knowledge discovery.models making use of dependency parses of the input sentences, or dependency-based models,: an example modified from the tac kbp challenge corpus. a subtree of the original ud dependency tree between the subject and object is also shown, where the shortest dependency path between the entities is highlighted in bold. note that negation is off the dependency path.have proven to be very effective in relation extraction, because they capture long-range syntactic relations that are obscure from the surface form alone . traditional feature-based models are able to represent dependency information by featurizing dependency trees as overlapping paths along the trees. however, these models face the challenge of sparse feature spaces and are brittle to lexical variations. more recent neural models address this problem with distributed representations built from their computation graphs formed along parse trees. one common approach to leverage dependency information is to perform bottom-up or top-down computation along the parse tree or the subtree below the lowest common ancestor of the entities. another popular approach, inspired by, is to reduce the parse tree to the shortest dependency path between the entities. however, these models suffer from several drawbacks. neural models operating directly on parse trees are usually difficult to parallelize and thus computationally inefficient, because aligning trees for efficient batch training is usually nontrivial. models based on the shortest dependency path between the subject and object are computationally more efficient, but this simplifying assumption has major limitations as well. shows a real-world example where crucial information would be excluded when the model is restricted to only considering the dependency path.in this work, we propose a novel extension of the graph convolutional network) that is tailored for relation extraction. our model encodes the dependency structure over the input sentence with efficient graph convolution operations, then extracts entity-centric representations to make robust relation predictions. we also apply a novel path-centric pruning technique to remove irrelevant information from the tree while maximally keeping relevant content, which further improves the performance of several dependencybased models including ours. we test our model on the popular semeval 2010 task 8 dataset and the more recent, larger tac-red dataset. on both datasets, our model not only outperforms existing dependency-based neural models by a significant margin when combined with the new pruning technique, but also achieves a 10-100x speedup over existing tree-based models. on tacred, our model further achieves the state-of-the-art performance, surpassing a competitive neural sequence model baseline. this model also exhibits complementary strengths to sequence models on tacred, and combining these two model types through simple prediction interpolation further improves the state of the art.to recap, our main contributions are: we propose a neural model for relation extraction based on graph convolutional networks, which allows it to efficiently pool information over arbitrary dependency structures; we present anew pathcentric pruning technique to help dependencybased models maximally remove irrelevant information without damaging crucial content to improve their robustness; we present detailed analysis on the model and the pruning technique, and show that dependency-based models have complementary strengths with sequence models."
27,End-to-end neural relation extraction using deep biaffine attention,"we propose a neural network model for joint extraction of named entities and relations between them, without any hand-crafted features. the key contribution of our model is to extend a bilstm-crf-based entity recognition model with a deep biaffine attention layer to model second-order interactions between latent features for relation classification, specifically attending to the role of an entity in a directional relationship. on the benchmark ""relation and entity recognition"" dataset conll04, experimental results show that our model outperforms previous models, producing new state-of-the-art performances.introduction","extracting entities and their semantic relations from raw text is a key information extraction task. for example, given the sentence "" david foster is the ap 's northwest regional reporter , based in seattle "" in the conll04 dataset, our goal is to recognize ""david foster"" as person, ""ap"" as organization, and ""northwest"" and ""seattle"" as location entities, then classifiy entity pairs to extract structured information: work for, orgbased in and orgbased in. such information is useful in many other nlp tasks. especially in ir applications such as entity search, structured search and question answering, it helps provide end users with significantly better search experience.a common relation extraction approach is to construct pipeline systems with separate sub-systems for the two tasks of named entity recognition and relation classification. more recently, end-to-end systems which jointly learn to extract entities and relations have been proposed with strong potential to obtain high performance. traditional joint approaches are feature-based supervised learning methods which employ numerous syntactic and lexical features based on external nlp tools as well as knowledge base resources.state-of-the-art relation extraction performance has been obtained by end-to-end models based on neural networks. specifically, proposed a rnnbased model which achieved top results on the conll04 dataset. their approach relies on various manually extracted features. other neural models employ dependency parsing-based information. in particular, applied bottom-up and top-down tree-structured lstms to model dependency paths between entities. integrated implicit syntactic information by using latent feature representations extracted from a pre-trained bilstm-based dependency parser. entity recognition, and a cnn on top of the bilstm for classifying relations. adel and sch tze assumed that entity boundaries are given, and trained a cnn to extract context features around the entities, and using these features for entity and relation classification. recently, formulated the joint entity and relation extraction problem as a directed graph and proposed a bilstm-and transition-based approach to generate the graph incrementally. extended the multi-head selection-based joint model with adversarial training. in, the joint task is formulated as a sequence tagging problem, and a bilstm with a softmax output layer can then be used for joint prediction.in this paper, we present a novel end-to-end neural model for joint entity and relation extraction. as illustrated in, our model architecture can be viewed as a mixture of a named entity recognition component and a relation classification component. our ner component employs a bilstm-crf architecture to predict entities from input word tokens. based on both the input words and the predicted ner labels, the rc component uses another bilstm to learn latent features relevant for relation classification. in most previous neural joint models, the relation classification part relies on a common ""linear"" concatenation-based mechanism over the latent features associated with entity pairs, i.e. the latent features are first concatenated into a single feature vector which is then linearly transformed before being fed into a softmax classifier. in contrast, our rc component takes into account second-order interactions over the latent features via a tensor. in particular, for relation classification we propose a novel use of the deep biaffine attention mechanism which was first introduced in dependency parsing.experimental results on the benchmark ""relation and entity recognition"" dataset conll04 show that our model outperforms previous models, obtaining new stateof-the-art scores. in addition, using the biaffine attention improves the performance compared to using the linear mechanism significantly. we also provide an ablation study to investigate effects of different contributing factors in our model."
28,Semantic Relation Classification via Bidirectional LSTM Networks with Entity-aware Attention using Latent Entity Typing,"classifying semantic relations between entity pairs in sentences is an important task in natural language processing . most previous models for relation classification rely on the high-level lexical and syntatic features obtained by nlp tools such as wordnet, dependency parser, part-ofspeech tagger, and named entity recognizers . in addition, state-of-the-art neural models based on attention mechanisms do not fully utilize information of entity that maybe the most crucial features for relation classification. to address these issues, we propose a novel end-to-end recurrent neural model which incorporates an entity-aware attention mechanism with a latent entity typing method. our model not only utilizes entities and their latent types as features effectively but also is more interpretable by visualizing attention mechanisms applied to our model and results of let. experimental results on the semeval-2010 task 8, one of the most popular relation classification task, demonstrate that our model outperforms existing state-ofthe-art models without any high-level features.introduction","classifying semantic relations between entity pairs in sentences plays a vital role in various nlp tasks, such as information extraction, question answering and knowledge base population. a task of relation classification is defined as predicting a semantic relationship between two tagged entities in a sentence. for example, given a sentence with tagged entity pair, crash and attack, this sentence is classified into the re-lation cause-effect 1 between the entity pair like. a first entity is surrounded by e1 and /e1 , and a second entity is surrounded by e2 and /e2 .most previous relation classification models rely heavily on high-level lexical and syntactic features obtained from nlp tools such as wordnet, dependency parser, part-of-speech tagger, and named entity recognizer . the classification models relying on such features suffer from propagation of implicit error of the tools and they are computationally expensive.recently, many studies therefore propose end-toend neural models without the high-level features. among them, attention-based models, which focus to the most important semantic information in a sentence, show state-of-the-art results in a lot of nlp tasks. since these models are mainly proposed for solving translation and language modeling tasks, they could not fully utilize the information of tagged entities in relation classification task. however, tagged entity pairs could be powerful hints for solving relation classification task. for example, even if we do not consider other words except the crash and attack, we intuitively know that the entity pair has a relation cause-effect 1 better than component-whole 1 in to address these issues, we propose a novel endto-end recurrent neural model which incorporates an entity-aware attention mechanism with a latent entity typing . to capture the context of sentences, we obtain word representations by self attention mechanisms and build the recurrent neural architecture with bidirectional long short-term memory networks. entity-aware attention focuses on the most important semantic information considering entity pairs with word positions relative to these pairs and latent types obtained by let.the contributions of our work are summarized as follows: we propose an novel end-to-end recurrent neural model and an entity-aware attention mechanism with a let which focuses to semantic information of entities and their latent types; our model obtains 85.2% f1-score in semeval-2010 task 8 and it outper- forms existing state-of-the-art models without any highlevel features; we show that our model is more interpretable since it's decision making process could be visualized with self attention, entity-aware attention, and let."
29,Data and text mining BioBERT: a pre-trained biomedical language representation model for biomedical text mining,"motivation: biomedical text mining is becoming increasingly important as the number of biomedical documents rapidly grows. with the progress in natural language processing , extracting valuable information from biomedical literature has gained popularity among researchers, and deep learning has boosted the development of effective biomedical text mining models. however, directly applying the advancements in nlp to biomedical text mining often yields unsatisfactory results due to a word distribution shift from general domain corpora to biomedical corpora. in this article, we investigate how the recently introduced pre-trained language model bert can be adapted for biomedical corpora. results: we introduce biobert , which is a domain-specific language representation model pre-trained on large-scale biomedical corpora. with almost the same architecture across tasks, biobert largely outperforms bert and previous state-of-the-art models in a variety of biomedical text mining tasks when pre-trained on biomedical corpora. while bert obtains performance comparable to that of previous state-of-the-art models, biobert significantly outperforms them on the following three representative biomedical text mining tasks: biomedical named entity recognition , biomedical relation extraction and biomedical question answering . our analysis results show that pre-training bert on biomedical corpora helps it to understand complex biomedical texts. availability and implementation: we make the pre-trained weights of biobert freely available at https://github. com/naver/biobert-pretrained, and the source code for fine-tuningintroduction","the volume of biomedical literature continues to rapidly increase. on average, more than 3000 new articles are published everyday in peer-reviewed journals, excluding pre-prints and technical reports such as clinical trial reports in various archives. pubmed alone has a total of 29m articles as of january 2019. reports containing valuable information about new discoveries and new insights are continuously added to the already overwhelming amount of literature. consequently, there is increasingly more demand for accurate biomedical text mining tools for extracting information from the literature.recent progress of biomedical text mining models was made possible by the advancements of deep learning techniques used in natural language processing . for instance, long short-term memory and conditional random field have greatly improved performance in biomedical named entity recognition over the last few years. other deep learning based models have made improvements in biomedical text mining tasks such as relation extraction and question answering .however, directly applying state-of-the-art nlp methodologies to biomedical text mining has limitations. first, as recent word representation models such as word2vec, elmo and bert are trained and tested mainly on datasets containing general domain texts , it is difficult to estimate their performance on datasets containing biomedical texts. also, the word distributions of general and biomedical corpora are quite different, which can often be a problem for biomedical text mining models. as a result, recent models in biomedical text mining rely largely on adapted versions of word representations.in this study, we hypothesize that current state-of-the-art word representation models such as bert need to be trained on biomedical corpora to be effective in biomedical text mining tasks. previously, word2vec, which is one of the most widely known context independent word representation models, was trained on biomedical corpora which contain terms and expressions that are usually not included in a general domain corpus. while elmo and bert have proven the effectiveness of contextualized word representations, they cannot obtain high performance on biomedical corpora because they are pre-trained on only general domain corpora. as bert achieves very strong results on various nlp tasks while using almost the same structure across the tasks, adapting bert for the biomedical domain could potentially benefit numerous biomedical nlp researches."
30,Extracting Multiple-Relations in One-Pass with Pre-Trained Transformers,"the state-of-the-art solutions for extracting multiple entity-relations from an input paragraph always require a multiple-pass encoding on the input. this paper proposes anew solution that can complete the multiple entityrelations extraction task with only one-pass encoding on the input corpus, and achieve anew state-of-the-art accuracy performance, as demonstrated in the ace 2005 benchmark. our solution is built on top of the pre-trained self-attentive models . since our method uses a single-pass to compute all relations at once, it scales to larger datasets easily; which makes it more usable in real-world applications. 1introduction","relation extraction aims to find the semantic relation between a pair of entity mentions from an input paragraph. a solution to this task is essential for many downstream nlp applications such as automatic knowledge-base completion, knowledge base question answering, and symbolic approaches for visual question answering, etc.one particular type of the re task is multiplerelations extraction that aims to recognize relations of multiple pairs of entity mentions from an input paragraph. because in real-world applications, whose input paragraphs dominantly contain multiple pairs of entities, an efficient and effective solution for mre has more important and more practical implications. however, nearly all existing approaches for mre tasks 2014; adopt some variations of the singlerelation extraction approach, which treats each pair of entity mentions as an independent instance, and requires multiple passes of encoding for the multiple pairs of entities. the drawback of this approach is obvious -it is computationally expensive and this issue becomes more severe when the input paragraph is large, making this solution impossible to implement when the encoding step involves deep models.this work presents a solution that can resolve the inefficient multiple-passes issue of existing solutions for mre by encoding the input only once, which significantly increases the efficiency and scalability. specifically, the proposed solution is built on top of the existing transformer-based, pretrained general-purposed language encoders. in this paper we use bidirectional encoder representations from transformers as the transformer-based encoder, but this solution is not limited to using bert alone. the two novel modifications to the original bert architecture are: we introduce a structured prediction layer for predicting multiple relations for different entity pairs; and we make the selfattention layers aware of the positions of all en-tities in the input paragraph. to the best of our knowledge, this work is the first promising solution that can solve mre tasks with such high efficiency and effectiveness , as proved on the ace 2005 benchmark."
31,SCIBERT: A Pretrained Language Model for Scientific Text,"obtaining large-scale annotated data for nlp tasks in the scientific domain is challenging and expensive. we release scibert, a pretrained language model based on bert to address the lack of high-quality, large-scale labeled scientific data.scibert leverages unsupervised pretraining on a large multi-domain corpus of scientific publications to improve performance on downstream scientific nlp tasks. we evaluate on a suite of tasks including sequence tagging, sentence classification and dependency parsing, with datasets from a variety of scientific domains. we demonstrate statistically significant improvements over bert and achieve new state-of-theart results on several of these tasks. the code and pretrained models are available at link","the exponential increase in the volume of scientific publications in the past decades has made nlp an essential tool for large-scale knowledge extraction and machine reading of these documents. recent progress in nlp has been driven by the adoption of deep neural models, but training such models often requires large amounts of labeled data. in general domains, large-scale training data is often possible to obtain through crowdsourcing, but in scientific domains, annotated data is difficult and expensive to collect due to the expertise required for quality annotation.as shown through elmo , and bert, unsupervised pretraining of language models on large corpora significantly improves performance on many nlp tasks. these models return contextualized embeddings for each token which can be passed into minimal task-specific neural architectures. leveraging the success of unsupervised pretraining has become especially important especially when task-specific annotations are difficult to obtain, like in scientific nlp. yet while both bert and elmo have released pretrained models, they are still trained on general domain corpora such as news articles and wikipedia.in this work, we make the following contributions: we release scibert, anew resource demonstrated to improve performance on a range of nlp tasks in the scientific domain. scibert is a pretrained language model based on bert but trained on a large corpus of scientific text. we perform extensive experimentation to investigate the performance of finetuning versus task-specific architectures atop frozen embeddings, and the effect of having an in-domain vocabulary. we evaluate scibert on a suite of tasks in the scientific domain, and achieve new state-ofthe-art results on many of these tasks."
