,0
24,"the goal of the entity recognition and relation extraction is to discover relational structures of entity mentions from unstructured texts. it is a central problem in information extraction since it is critical for tasks such as knowledge base population and question answering.the problem is traditionally approached as two separate subtasks, namely named entity recognition and relation extraction , in a pipeline setting. the main limitations of the pipeline models are: error propagation between the components and possible useful information from the one task is not exploited by the other . on the other hand, more recent studies propose to use joint models to detect entities and their relations overcoming the aforementioned issues and achieving state-of-the-art performance.the previous joint models heavily rely on hand-crafted features. recent advances in neural networks alleviate the issue of manual feature engineering, but some of them still depend on nlp tools . propose a recurrent neural network -based joint model that uses a bidirectional sequential lstm to model the entities and a tree-lstm that takes into account dependency tree information to model the relations between the entities. the dependency information is extracted using an external dependency parser. similarly, in the work of for entity and relation extraction from biomedical text, a model which also uses tree-lstms is applied to extract dependency information. propose a method that relies on rnns but uses a lot of hand-crafted features and additional nlp tools to extract features such as pos-tags, etc. replicate the context around the entities with convolutional neural networks . note that the aforementioned works examine pairs of entities for relation extraction, rather than modeling the whole sentence directly. this means that relations of other pairs of entities in the same sentence -which could be helpful in deciding on the relation type fora particular pair -are not taken into account. propose a neural joint model based on lstms where they model the whole sentence at once, but still they do not have a principled way to deal with multiple relations. introduce a quadratic scoring layer to model the two tasks simultaneously. the limitation of this approach is that only a single relation can be assigned to a token, while the time complexity for the entity recognition task is increased compared to the standard approaches with linear complexity.in this work, we focus on anew general purpose joint model that performs the two tasks of entity recognition and relation extraction simultaneously, and that can handle multiple relations together. our model achieves state-of-the-art performance in a number of different contexts and languages without relying on any manually engineered features nor additional nlp tools. in summary, our proposed model solves several shortcomings that we identified in related works for joint entity recognition and relation extraction: our model does not rely on external nlp tools nor hand-crafted features, entities and relations within the same text fragment are extracted simultaneously, where an entity can be involved in multiple relations at once. specifically, the model of depends on dependency parsers, which perform particularly well on specific languages and contexts . yet, our ambition is to develop a model that generalizes well in various setups, therefore using only automatically extracted features that are learned during training.for instance, and use exactly the same model in different contexts, i.e., news and biomedical data , respectively. comparing our results to the ade dataset, we obtain a 1.8% improvement on the ner task and ?3% on the re task. on the other hand, our model performs within a reasonable margin on the ace04 dataset without the use of pre-calculated features. this shows that the model of strongly relies on the features extracted by the dependency parsers and cannot generalize well into different contexts where dependency parser features are weak.comparing to, we train our model by modeling all the entities and the relations of the sentence at once. this type of inference is beneficial in obtaining information about neighboring entities and relations instead of just examining a pair of entities each time. finally, we solve the underlying problem of the models proposed by and, who essentially assume classes to be mutually exclusive: we solve this by phrasing the relation extraction component as a multi-label prediction problem. to demonstrate the effectiveness of the proposed method, we conduct the largest experimental evaluation to date in jointly performing both entity recognition and relation extraction , using different datasets from various domains and languages . specifically, we apply our method to four datasets, namely ace04 , adverse drug events , dutch real estate classifieds and conll'04 . our method outperforms all state-of-the-art methods that do not rely on any additional features or tools, while performance is very close compared to methods that do exploit hand-engineered features or nlp tools."
25,"many neural network methods have recently been exploited in various natural language processing tasks, such as parsing , pos tagging, relation extraction, translation, and joint tasks. however, observed that intentional small scale perturbations to the input of such models may lead to incorrect decisions . proposed adversarial training as a regularization method which uses a mixture of clean and adversarial examples to enhance the robustness of the model. although at has recently been applied in nlp tasks , this paper -to the best of our knowledge -is the first attempt investigating regularization effects of at in a joint setting for two related tasks.we start from a baseline joint model that performs the tasks of named entity recognition and relation extraction at once. previously proposed models exhibit several issues that the neural network-based baseline approach overcomes: our model uses automatically extracted features without the need of external parsers nor manually extracted features , all entities and the corresponding relations within the sentence are extracted at once, instead of examining one pair of entities at a time , and we model relation extraction in a multi-label setting, allowing multiple relations per entity . the core contribution of the paper is the use of at as an extension in the training procedure for the joint extraction task .to evaluate the proposed at method, we perform a large scale experimental study in this joint task , using datasets from different contexts and languages . we use a strong baseline that outperforms all previous models that rely on automatically extracted features, achieving state-of-the-art performance . compared to the baseline model, applying at during training leads to a consistent additional increase in joint extraction effectiveness."
26,"relation extraction involves discerning whether a relation exists between two entities in a sentence . successful relation extraction is the cornerstone of applications requiring relational understanding of unstructured text on a large scale, such as question answering, knowledge base population, and biomedical knowledge discovery.models making use of dependency parses of the input sentences, or dependency-based models,: an example modified from the tac kbp challenge corpus. a subtree of the original ud dependency tree between the subject and object is also shown, where the shortest dependency path between the entities is highlighted in bold. note that negation is off the dependency path.have proven to be very effective in relation extraction, because they capture long-range syntactic relations that are obscure from the surface form alone . traditional feature-based models are able to represent dependency information by featurizing dependency trees as overlapping paths along the trees. however, these models face the challenge of sparse feature spaces and are brittle to lexical variations. more recent neural models address this problem with distributed representations built from their computation graphs formed along parse trees. one common approach to leverage dependency information is to perform bottom-up or top-down computation along the parse tree or the subtree below the lowest common ancestor of the entities. another popular approach, inspired by, is to reduce the parse tree to the shortest dependency path between the entities. however, these models suffer from several drawbacks. neural models operating directly on parse trees are usually difficult to parallelize and thus computationally inefficient, because aligning trees for efficient batch training is usually nontrivial. models based on the shortest dependency path between the subject and object are computationally more efficient, but this simplifying assumption has major limitations as well. shows a real-world example where crucial information would be excluded when the model is restricted to only considering the dependency path.in this work, we propose a novel extension of the graph convolutional network) that is tailored for relation extraction. our model encodes the dependency structure over the input sentence with efficient graph convolution operations, then extracts entity-centric representations to make robust relation predictions. we also apply a novel path-centric pruning technique to remove irrelevant information from the tree while maximally keeping relevant content, which further improves the performance of several dependencybased models including ours. we test our model on the popular semeval 2010 task 8 dataset and the more recent, larger tac-red dataset. on both datasets, our model not only outperforms existing dependency-based neural models by a significant margin when combined with the new pruning technique, but also achieves a 10-100x speedup over existing tree-based models. on tacred, our model further achieves the state-of-the-art performance, surpassing a competitive neural sequence model baseline. this model also exhibits complementary strengths to sequence models on tacred, and combining these two model types through simple prediction interpolation further improves the state of the art.to recap, our main contributions are: we propose a neural model for relation extraction based on graph convolutional networks, which allows it to efficiently pool information over arbitrary dependency structures; we present anew pathcentric pruning technique to help dependencybased models maximally remove irrelevant information without damaging crucial content to improve their robustness; we present detailed analysis on the model and the pruning technique, and show that dependency-based models have complementary strengths with sequence models."
27,"extracting entities and their semantic relations from raw text is a key information extraction task. for example, given the sentence "" david foster is the ap 's northwest regional reporter , based in seattle "" in the conll04 dataset, our goal is to recognize ""david foster"" as person, ""ap"" as organization, and ""northwest"" and ""seattle"" as location entities, then classifiy entity pairs to extract structured information: work for, orgbased in and orgbased in. such information is useful in many other nlp tasks. especially in ir applications such as entity search, structured search and question answering, it helps provide end users with significantly better search experience.a common relation extraction approach is to construct pipeline systems with separate sub-systems for the two tasks of named entity recognition and relation classification. more recently, end-to-end systems which jointly learn to extract entities and relations have been proposed with strong potential to obtain high performance. traditional joint approaches are feature-based supervised learning methods which employ numerous syntactic and lexical features based on external nlp tools as well as knowledge base resources.state-of-the-art relation extraction performance has been obtained by end-to-end models based on neural networks. specifically, proposed a rnnbased model which achieved top results on the conll04 dataset. their approach relies on various manually extracted features. other neural models employ dependency parsing-based information. in particular, applied bottom-up and top-down tree-structured lstms to model dependency paths between entities. integrated implicit syntactic information by using latent feature representations extracted from a pre-trained bilstm-based dependency parser. entity recognition, and a cnn on top of the bilstm for classifying relations. adel and sch tze assumed that entity boundaries are given, and trained a cnn to extract context features around the entities, and using these features for entity and relation classification. recently, formulated the joint entity and relation extraction problem as a directed graph and proposed a bilstm-and transition-based approach to generate the graph incrementally. extended the multi-head selection-based joint model with adversarial training. in, the joint task is formulated as a sequence tagging problem, and a bilstm with a softmax output layer can then be used for joint prediction.in this paper, we present a novel end-to-end neural model for joint entity and relation extraction. as illustrated in, our model architecture can be viewed as a mixture of a named entity recognition component and a relation classification component. our ner component employs a bilstm-crf architecture to predict entities from input word tokens. based on both the input words and the predicted ner labels, the rc component uses another bilstm to learn latent features relevant for relation classification. in most previous neural joint models, the relation classification part relies on a common ""linear"" concatenation-based mechanism over the latent features associated with entity pairs, i.e. the latent features are first concatenated into a single feature vector which is then linearly transformed before being fed into a softmax classifier. in contrast, our rc component takes into account second-order interactions over the latent features via a tensor. in particular, for relation classification we propose a novel use of the deep biaffine attention mechanism which was first introduced in dependency parsing.experimental results on the benchmark ""relation and entity recognition"" dataset conll04 show that our model outperforms previous models, obtaining new stateof-the-art scores. in addition, using the biaffine attention improves the performance compared to using the linear mechanism significantly. we also provide an ablation study to investigate effects of different contributing factors in our model."
28,"classifying semantic relations between entity pairs in sentences plays a vital role in various nlp tasks, such as information extraction, question answering and knowledge base population. a task of relation classification is defined as predicting a semantic relationship between two tagged entities in a sentence. for example, given a sentence with tagged entity pair, crash and attack, this sentence is classified into the re-lation cause-effect 1 between the entity pair like. a first entity is surrounded by e1 and /e1 , and a second entity is surrounded by e2 and /e2 .most previous relation classification models rely heavily on high-level lexical and syntactic features obtained from nlp tools such as wordnet, dependency parser, part-of-speech tagger, and named entity recognizer . the classification models relying on such features suffer from propagation of implicit error of the tools and they are computationally expensive.recently, many studies therefore propose end-toend neural models without the high-level features. among them, attention-based models, which focus to the most important semantic information in a sentence, show state-of-the-art results in a lot of nlp tasks. since these models are mainly proposed for solving translation and language modeling tasks, they could not fully utilize the information of tagged entities in relation classification task. however, tagged entity pairs could be powerful hints for solving relation classification task. for example, even if we do not consider other words except the crash and attack, we intuitively know that the entity pair has a relation cause-effect 1 better than component-whole 1 in to address these issues, we propose a novel endto-end recurrent neural model which incorporates an entity-aware attention mechanism with a latent entity typing . to capture the context of sentences, we obtain word representations by self attention mechanisms and build the recurrent neural architecture with bidirectional long short-term memory networks. entity-aware attention focuses on the most important semantic information considering entity pairs with word positions relative to these pairs and latent types obtained by let.the contributions of our work are summarized as follows: we propose an novel end-to-end recurrent neural model and an entity-aware attention mechanism with a let which focuses to semantic information of entities and their latent types; our model obtains 85.2% f1-score in semeval-2010 task 8 and it outper- forms existing state-of-the-art models without any highlevel features; we show that our model is more interpretable since it's decision making process could be visualized with self attention, entity-aware attention, and let."
29,"the volume of biomedical literature continues to rapidly increase. on average, more than 3000 new articles are published everyday in peer-reviewed journals, excluding pre-prints and technical reports such as clinical trial reports in various archives. pubmed alone has a total of 29m articles as of january 2019. reports containing valuable information about new discoveries and new insights are continuously added to the already overwhelming amount of literature. consequently, there is increasingly more demand for accurate biomedical text mining tools for extracting information from the literature.recent progress of biomedical text mining models was made possible by the advancements of deep learning techniques used in natural language processing . for instance, long short-term memory and conditional random field have greatly improved performance in biomedical named entity recognition over the last few years. other deep learning based models have made improvements in biomedical text mining tasks such as relation extraction and question answering .however, directly applying state-of-the-art nlp methodologies to biomedical text mining has limitations. first, as recent word representation models such as word2vec, elmo and bert are trained and tested mainly on datasets containing general domain texts , it is difficult to estimate their performance on datasets containing biomedical texts. also, the word distributions of general and biomedical corpora are quite different, which can often be a problem for biomedical text mining models. as a result, recent models in biomedical text mining rely largely on adapted versions of word representations.in this study, we hypothesize that current state-of-the-art word representation models such as bert need to be trained on biomedical corpora to be effective in biomedical text mining tasks. previously, word2vec, which is one of the most widely known context independent word representation models, was trained on biomedical corpora which contain terms and expressions that are usually not included in a general domain corpus. while elmo and bert have proven the effectiveness of contextualized word representations, they cannot obtain high performance on biomedical corpora because they are pre-trained on only general domain corpora. as bert achieves very strong results on various nlp tasks while using almost the same structure across the tasks, adapting bert for the biomedical domain could potentially benefit numerous biomedical nlp researches."
30,"relation extraction aims to find the semantic relation between a pair of entity mentions from an input paragraph. a solution to this task is essential for many downstream nlp applications such as automatic knowledge-base completion, knowledge base question answering, and symbolic approaches for visual question answering, etc.one particular type of the re task is multiplerelations extraction that aims to recognize relations of multiple pairs of entity mentions from an input paragraph. because in real-world applications, whose input paragraphs dominantly contain multiple pairs of entities, an efficient and effective solution for mre has more important and more practical implications. however, nearly all existing approaches for mre tasks 2014; adopt some variations of the singlerelation extraction approach, which treats each pair of entity mentions as an independent instance, and requires multiple passes of encoding for the multiple pairs of entities. the drawback of this approach is obvious -it is computationally expensive and this issue becomes more severe when the input paragraph is large, making this solution impossible to implement when the encoding step involves deep models.this work presents a solution that can resolve the inefficient multiple-passes issue of existing solutions for mre by encoding the input only once, which significantly increases the efficiency and scalability. specifically, the proposed solution is built on top of the existing transformer-based, pretrained general-purposed language encoders. in this paper we use bidirectional encoder representations from transformers as the transformer-based encoder, but this solution is not limited to using bert alone. the two novel modifications to the original bert architecture are: we introduce a structured prediction layer for predicting multiple relations for different entity pairs; and we make the selfattention layers aware of the positions of all en-tities in the input paragraph. to the best of our knowledge, this work is the first promising solution that can solve mre tasks with such high efficiency and effectiveness , as proved on the ace 2005 benchmark."
31,"the exponential increase in the volume of scientific publications in the past decades has made nlp an essential tool for large-scale knowledge extraction and machine reading of these documents. recent progress in nlp has been driven by the adoption of deep neural models, but training such models often requires large amounts of labeled data. in general domains, large-scale training data is often possible to obtain through crowdsourcing, but in scientific domains, annotated data is difficult and expensive to collect due to the expertise required for quality annotation.as shown through elmo , and bert, unsupervised pretraining of language models on large corpora significantly improves performance on many nlp tasks. these models return contextualized embeddings for each token which can be passed into minimal task-specific neural architectures. leveraging the success of unsupervised pretraining has become especially important especially when task-specific annotations are difficult to obtain, like in scientific nlp. yet while both bert and elmo have released pretrained models, they are still trained on general domain corpora such as news articles and wikipedia.in this work, we make the following contributions: we release scibert, anew resource demonstrated to improve performance on a range of nlp tasks in the scientific domain. scibert is a pretrained language model based on bert but trained on a large corpus of scientific text. we perform extensive experimentation to investigate the performance of finetuning versus task-specific architectures atop frozen embeddings, and the effect of having an in-domain vocabulary. we evaluate scibert on a suite of tasks in the scientific domain, and achieve new state-ofthe-art results on many of these tasks."
32,"text classification is a classic topic for natural language processing, in which one needs to assign predefined categories to free-text documents. the range of text classification research goes from designing the best features to choosing the best possible machine learning classifiers. to date, almost all techniques of text classification are based on words, in which simple statistics of some ordered word combinations usually perform the best.on the other hand, many researchers have found convolutional networks are useful in extracting information from raw signals, ranging from computer vision applications to speech recognition and others. in particular, time-delay networks used in the early days of deep learning research are essentially convolutional networks that model sequential data.in this article we explore treating text as a kind of raw signal at character level, and applying temporal convnets to it. for this article we only used a classification task as away to exemplify convnets' ability to understand texts. historically we know that convnets usually require large-scale datasets to work, therefore we also build several of them. an extensive set of comparisons is offered with traditional models and other deep learning models.applying convolutional networks to text classification or natural language processing at large was explored in literature. it has been shown that convnets can be directly applied to distributed or discrete embedding of words, without any knowledge on the syntactic or semantic structures of a language. these approaches have been proven to be competitive to traditional models. from previous research that convnets do not require the knowledge about the syntactic or semantic structure of a language. this simplification of engineering could be crucial fora single system that can work for different languages, since characters always constitute a necessary construct regardless of whether segmentation into words is possible. working on only characters also has the advantage that abnormal character combinations such as misspellings and emoticons maybe naturally learnt."
33,"text categorization is the task of assigning labels to documents written in a natural language, and it has numerous real-world applications including sentiment analysis as well as traditional topic assignment tasks. the state-of-the art methods for text categorization had long been linear predictors with either bag-ofword or bag-of-n-gram vectors as input, e.g.,. this, however, a convolutional neural network ) is a feedforward neural network with convolution layers interleaved with pooling layers, originally developed for image processing. in its convolution layer, a small region of data at every location is converted to a low-dimensional vector with information relevant to the task being preserved, which we loosely term 'embedding'. the embedding function is shared among all the locations, so that useful features can be detected irrespective of their locations. in its simplest form, onehot cnn works as follows. a document is represented as a sequence of one-hot vectors ; a convolution layer converts small regions of the document to low-dimensional vectors at every location ; a pooling layer aggregates the region embedding results to a document vector by taking componentwise maximum or average; and the top layer classifies a document vector with a linear model. the onehot cnn and its semi-supervised extension were shown to be superior to a number of previous methods.in this work, we consider a more general framework which jointly trains a feature generator and a linear model, where the feature generator consists of 'region embedding + pooling'. the specific region embedding function of one-hot cnn takes the simple form v = max ,where x is a concatenation of one-hot vectors of the words in the -th region , and the weight matrix w and the bias vector b need to be trained. it is simple and fast to compute, and considering its simplicity, the method works surprisingly well if the region size is appropriately set. however, there are also potential shortcomings. the region size must be fixed, which may not be optimal as the size of relevant regions may vary. practically, the region size cannot be very large as the number of parameters to be learned depends on it. jz15 proposed variations to alleviate these issues. for example, a bow-input variation allows x above to be a bow vector of the region. this enables a larger region, but at the expense of losing word order in the region and so its use maybe limited.in this work, we build on the general framework of 'region embedding + pooling' and explore a more sophisticated region embedding via long short-term memory , seeking to overcome the shortcomings above, in the supervised and semi-supervised settings. lstm) is a recurrent neural network. in its typical applications to text, an lstm takes words in a sequence one by one; i.e., at time t, it takes as input the t-th word and the output from time t ? 1. therefore, the output from each time step can be regarded as the embedding of the sequence of words that have been seen so far . it is designed to enable learning of dependencies over larger time lags than feasible with traditional recurrent networks. that is, an lstm can be used to embed text regions of variable sizes.we pursue the best use of lstm for our purpose, and then compare the resulting model with the previous best methods including one-hot cnn and previous lstm. our strategy is to simplify the model as much as possible, including elimination of a word embedding layer routinely used to produce input to lstm. our findings are threefold. first, in the supervised setting, our simplification strategy leads to higher accuracy and faster training than previous lstm. second, accuracy can be further improved by training lstms on unlabeled data for learning useful region embeddings and using them to produce additional input. third, both our lstm models and one-hot cnn strongly outperform other methods including previous lstm. the best results are obtained by combining the two types of region embeddings trained on unlabeled data, indicating that their strengths are complementary. overall, our results show that for text categorization, embeddings of text regions, which can convey higher-level concepts than single words in isolation, are useful, and that useful region embeddings can be learned without going through word embedding learning. we report performances exceeding the previous best results on four benchmark datasets. our code and experimental details are available at link download.html."
34,"text classification is an important task in natural language processing with many applications, such as web search, information retrieval, ranking and document classification.recently, models based on neural networks have become increasingly popular. while these models achieve very good performance in practice, they tend to be relatively slow both at train and test time, limiting their use on very large datasets.meanwhile, linear classifiers are often considered as strong baselines for text classification problems. despite their simplicity, they often obtain stateof-the-art performances if the right features are used.they also have the potential to scale to very large corpus.in this work, we explore ways to scale these baselines to very large corpus with a large output space, in the context of text classification. inspired by the recent work in efficient word representation learning, we show that linear models with a rank constraint and a fast loss approximation can train on a billion words within ten minutes, while achieving performance on par with the state-of-the-art. we evaluate the quality of our approach fasttext 1 on two different tasks, namely tag prediction and sentiment analysis."
35,"words are often considered as the basic constituents of texts for many languages, including english. the first module in an nlp pipeline is a tokenizer which transforms texts to sequences of words.however, in practise, other preprocessing techniques can be further used together with tokenization. these include lemmatization, lowercasing and 1 note that although word-based models are mainstream in nlp in general and text classification in particular, recent work has also considered other linguistic units, such as characters or word senses. these techniques require a different kind of preprocessing and, while they have been shown effective in various settings, in this work we only focus on the mainstream word-based models. multiword grouping, among others. although these preprocessing decisions have been studied in the context of conventional text classification techniques, little attention has been paid to them in the more recent neural-based models. the most similar study to ours is, which analyzed different encoding levels for english and asian languages such as chinese, japanese and korean. as opposed to our work, their analysis was focused on utf-8 bytes, characters, words, romanized characters and romanized words as encoding levels, rather than the preprocessing techniques analyzed in this paper.additionally, word embeddings have been shown to play an important role in boosting the generalization capabilities of neural systems. however, while some studies have focused on intrinsically analyzing the role of lemmatization in their underlying training corpus, the impact on their extrinsic performance when integrated into a neural network architecture has remained understudied. in this paper we focus on the role of preprocessing the input text, particularly in how it is split into individual tokens and how it affects the performance of standard neural text classification models based on. cnns have proven to be effective in a wide range of nlp applications, in-cluding text classification tasks such as topic categorization and polarity detection, which are the tasks considered in this work. the goal of our evaluation study is to find answers to the following two questions:1. are neural network architectures affected by seemingly small preprocessing decisions in the input text?2. does the preprocessing of the embeddings' underlying training corpus have an impact on the final performance of a state-of-the-art neural network text classifier?according to our experiments in topic categorization and polarity detection, these decisions are important in certain cases. moreover, we shed some light on the motivations of each preprocessing decision and provide some hints on how to normalize the input corpus to better suit each setting.the accompanying materials of this submission can be downloaded at the following repository: github.com/pedrada88/preproc-textclassification."
36,"in the last few years, convolutional neural networks have demonstrated remarkable progress in various natural language processing applications, including sentence/document classification, text sequence matching, generic text representations, language modeling , machine translation and abstractive sentence summarization. cnns are typically applied to tasks where feature extrac-tion and a corresponding supervised task are approached jointly. as an encoder network for text, cnns typically convolve a set of filters, of window size n, with an inputsentence embedding matrix obtained via word2vec or glove. different filter sizes n maybe used within the same model, exploiting meaningful semantic features from different n-gram fragments.the learned weights of cnn filters, inmost cases, are assumed to be fixed regardless of the input text. as a result, the rich contextual information inherent in natural language sequences may not be fully captured. as demonstrated in, the context of a word tends to greatly influence its contribution to the final supervised tasks. this observation is consistent with the following intuition: when reading different types of documents, e.g., academic papers or newspaper articles, people tend to adopt distinct strategies for better and more effective understanding, leveraging the fact that the same words or phrases may have different meaning or imply different things, depending on context.several research efforts have sought to incorporate contextual information into cnns to adaptively extract text representations. one common strategy is the attention mechanism, which is typically employed on top of a cnn ) layer to guide the extraction of semantic features. for the embedding of a single sentence, proposed a selfattentive model that attends to different parts of a sentence and combines them into multiple vector representations. however, their model needs considerably more parameters to achieve performance gains over traditional cnns. to match sentence pairs, introduced an attentionbased cnn model, which re-weights the convolution inputs or outputs, to extract interdepen-dent sentence representations.; explore a compare and aggregate framework to directly capture the wordby-word matching between two paired sentences. however, these approaches suffer from the problem of high matching complexity, since a similarity matrix between pairwise words needs to be computed, and thus it is computationally inefficient or even prohibitive when applied to long sentences.in this paper, we propose a generic approach to learn context-sensitive convolutional filters for natural language understanding. in contrast to traditional cnns, the convolution operation in our framework does not have a fixed set of filters, and thus provides the network with stronger modeling flexibility and capacity. specifically, we introduce a meta network to generate a set of contextsensitive filters, conditioned on specific input sentences; these filters are adaptively applied to either the same or different text sequences. in this manner, the learned filters vary from sentence to sentence and allow for more fine-grained feature abstraction.moreover, since the generated filters in our framework can adapt to different conditional information available , they can be naturally generalized to model sentence pairs. in this regard, we propose a novel bidirectional filter generation mechanism to allow interactions between sentence pairs while constructing context-sensitive representations.we investigate the effectiveness of our adaptive context-sensitive cnn framework on several text processing tasks: ontology classification, sentiment analysis, answer sentence selection and paraphrase identification. we show that the proposed methods consistently outperforms the standard cnn and attention-based cnn baselines. our work provides anew perspective on how to incorporate contextual information into text representations, which can be combined with more sophisticated structures to achieve even better performance in the future."
37,"inductive transfer learning has had a large impact on computer vision . applied cv models are rarely trained from scratch, but instead are fine-tuned from models that have been pretrained on imagenet, ms-coco, and other datasets.text classification is a category of natural language processing tasks with real-world applications such as spam, fraud, and bot detection, emergency response, and commercial document classification, such as for legal discovery. 1 link equal contribution. jeremy focused on the algorithm development and implementation, sebastian focused on the experiments and writing.while deep learning models have achieved state-of-the-art on many nlp tasks, these models are trained from scratch, requiring large datasets, and days to converge. research in nlp focused mostly on transductive transfer. for inductive transfer, fine-tuning pretrained word embeddings, a simple transfer technique that only targets a model's first layer, has had a large impact in practice and is used inmost state-of-the-art models. recent approaches that concatenate embeddings derived from other tasks with the input at different layers) still train the main task model from scratch and treat pretrained embeddings as fixed parameters, limiting their usefulness.in light of the benefits of pretraining, we should be able to do better than randomly initializing the remaining parameters of our models. however, inductive transfer via finetuning has been unsuccessful for nlp. first proposed finetuning a language model but require millions of in-domain documents to achieve good performance, which severely limits its applicability.we show that not the idea of lm fine-tuning but our lack of knowledge of how to train them effectively has been hindering wider adoption. lms overfit to small datasets and suffered catastrophic forgetting when fine-tuned with a classifier. compared to cv, nlp models are typically more shallow and thus require different fine-tuning methods.we propose anew method, universal language model fine-tuning that addresses these issues and enables robust inductive transfer learning for any nlp task, akin to fine-tuning imagenet models: the same 3-layer lstm architecturewith the same hyperparameters and no additions other than tuned dropout hyperparametersoutperforms highly engineered models and trans-fer learning approaches on six widely studied text classification tasks. on imdb, with 100 labeled examples, ulmfit matches the performance of training from scratch with 10 and-given 50k unlabeled examples-with 100 more data.contributions our contributions are the following: 1) we propose universal language model fine-tuning , a method that can be used to achieve cv-like transfer learning for any task for nlp. 2) we propose discriminative fine-tuning, slanted triangular learning rates, and gradual unfreezing, novel techniques to retain previous knowledge and avoid catastrophic forgetting during fine-tuning. 3) we significantly outperform the state-of-the-art on six representative text classification datasets, with an error reduction of 18-24% on the majority of datasets. 4) we show that our method enables extremely sample-efficient transfer learning and perform an extensive ablation analysis. 5) we make the pretrained models and our code available to enable wider adoption."
38,"limited amounts of training data are available for many nlp tasks. this presents a challenge for data hungry deep learning methods. given the high cost of annotating supervised training data, very large training sets are usually not available for most research or industry nlp tasks. many models address the problem by implicitly performing limited transfer learning through the use of pre-trained word embeddings such as those produced by word2vec or glove. however, recent work has demonstrated strong transfer task performance using pre-trained sentence level embeddings.in this paper, we present two models for producing sentence embeddings that demonstrate good transfer to a number of other of other nlp tasks. we include experiments with varying amounts of transfer task training data to illustrate the relationship between transfer task performance and training set size. we find that our sentence embeddings can be used to obtain surprisingly good task performance with remarkably little task specific training data. the sentence encoding models are made publicly available on tf hub.engineering characteristics of models used for transfer learning are an important consideration. we discuss modeling trade-offs regarding memory requirements as well as compute time on cpu and gpu. resource consumption comparisons are made for sentences of varying lengths. import tensorflow_hub as hub embed = hub.module embedding = embedlisting 1: python example code for using the universal sentence encoder."
39,"modeling articles or sentences computationally is a fundamental topic in natural language processing. it could be as simple as a keyword/phrase matching problem, but it could also be a nontrivial problem if compositions, hierarchies, and structures of texts are considered. for example, a news article which mentions a single phrase ""us election"" maybe categorized into the political news with high probability. but it could be very difficult fora computer to predict which presidential candidate is favored by its author, or whether the author's view in the article is more liberal or more conservative.earlier efforts in modeling texts have achieved limited success on text categorization using a simple bag-of-words classifier, implying understanding the meaning of the individual word or n-gram is a necessary step towards more sophisticated models. it is therefore not a surprise that distributed representations of words, a.k.a. word embeddings, have received great attention from nlp community addressing the question ""what"" to be modeled at the basic level. in order to model higher level concepts and facts in texts, an nlp researcher has to think cautiously the so-called ""what"" question: what is actually modeled beyond word meanings. a common approach to the question is to treat the texts as sequences and focus on their spatial patterns, whose representatives include convolutional neural networks and long shortterm memory networks . another common approach is to completely ignore the order of words but focus on their compositions as a collection, whose representatives include probabilistic topic modeling and earth mover's distance based modeling.those two approaches, albeit quite different from the computational perspective, actually follow a common measure to be diagnosed regarding their answers to the ""what"" question. in neural network approaches, spatial patterns aggregated at lower levels contribute to representing higher level concepts. here, they form a recursive process to articulate what to be modeled. for example, cnn builds convolutional feature detectors to extract local patterns from a window of vector sequences and uses max-pooling to select the most prominent ones. it then hierarchically builds such pattern extraction pipelines at multiple levels. being a spatially sensitive model, cnn pays a price for the inefficiency of replicating feature detectors on a grid. as argued in, one has to choose between replicating detectors whose size grows exponentially with the number of dimensions, or increasing the volume of the labeled training set in a similar exponential way. on the other hand, methods that are spatially insensitive are perfectly efficient at the inference time regardless of any order of words or local patterns. however, they are unavoidably more restricted to encode rich structures presented in a sequence. improving the efficiency to encode spatial patterns while keeping the flexibility of their representation capability is thus a central issue.a recent method called capsule network introduced by possesses this attractive potential to address the aforementioned issue. they introduce an iterative routing process to decide the credit attribution between nodes from lower and higher layers. a metaphor they made is that human visual system intelligently assigns parts to wholes at the inference time without hard-coding patterns to be perspective relevant. as an outcome, their model could encode the intrinsic spatial relationship between apart and a whole constituting viewpoint invariant knowledge that automatically generalizes to novel viewpoints. in our work, we follow a similar spirit to use this technique in modeling texts. three strategies are proposed to stabilize the dynamic routing process to alleviate the disturbance of some noise capsules which may contain ""background"" information such as stop words and the words that are unrelated to specific categories. we conduct a series of experiments with capsule networks on top of the pre-trained word vectors for six text classification benchmarks. more importantly, we show that capsule networks achieves significant improvement when transferring singlelabel to multi-label text classifications over strong baseline methods."
